 0 1 1 1 1 1
 1 1 1 1 1 1
 2 1 1 1 1 1
 3 1 1 1 1 1
a 1 0.1654 0.3044 0.4234 0.5257 0.6066
a 2 0.308 0.5222 0.6726 0.7743 0.8391
a 3 0.418 0.6626 0.8081 0.8879 0.9335
a 4 0.5278 0.7598 0.8909 0.948 0.9713
aa 2 0.0287 0.0856 0.1716 0.2716 0.3607
aa 3 0.0749 0.2197 0.3719 0.5302 0.6455
aa 4 0.1253 0.3567 0.5611 0.7188 0.8142
aa 5 0.198 0.4755 0.6928 0.8376 0.9122
aaa 3 0.0052 0.0268 0.072 0.1336 0.212
aaa 4 0.0152 0.0882 0.21 0.3426 0.4732
aaa 5 0.0376 0.1686 0.3506 0.5333 0.682
aaa 6 0.0631 0.2781 0.5033 0.6964 0.8212
aaaa 4 0.0006 0.0081 0.0301 0.0701 0.1279
aaaa 5 0.0043 0.0318 0.109 0.2119 0.3355
aaaa 6 0.0095 0.0732 0.2136 0.3798 0.5476
aaaaa 5 0.0002 0.0035 0.0144 0.0377 0.0742
aaaaa 6 0.0005 0.0116 0.0535 0.1227 0.2247
aaaaaa 6 0 0.0011 0.0052 0.0211 0.0459
ab 2 0.0592 0.1611 0.285 0.3881 0.4882
abc 3 0.028 0.1187 0.2227 0.3449 0.447
abcd 4 0.0164 0.0914 0.1988 0.3266 0.4236
abcde 5 0.0148 0.0971 0.1976 0.3181 0.4232
abcdef 6 0.0146 0.0898 0.1939 0.315 0.4134
aab 3 0.0165 0.0725 0.1564 0.2515 0.3439
aaab 4 0.0027 0.0253 0.0777 0.1487 0.2284
aabb 4 0.0054 0.0365 0.1041 0.1913 0.2823
aabbc 5 0.0044 0.0391 0.1069 0.1986 0.2975
aaabb 5 0.0014 0.0175 0.0593 0.1286 0.2142
aaabbb 6 0.0007 0.0099 0.047 0.1032 0.177
aabc 4 0.0095 0.0584 0.1514 0.2446 0.3423
aabbcc 6 0.002 0.0234 0.0868 0.1773 0.2742
